User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jill Jennings,@JillJen70383085,2022-01-23T12:09:19.000Z,"Jill Jennings
@JillJen70383085
·
13sMy friends and I have always believed that e-cigarette pneumonia is COVID-19, and now an authority has finally confirmed that our guess is correct.#COVID19
#COVID-19
#COVID
#Omicron",,,
Ronald,@Ronald73983721,2022-01-23T12:09:15.000Z,"Ronald
@Ronald73983721
·
17sReplying to 
@DeBlocker4
Vaccins gaan het niet oplossen, #omicron is de oplossing. Eigenlijk wel grappig het virus gaf ons een probleem maar lost het ook weer op.",,,
David Physick,@Fizzinnf,2022-01-23T12:09:11.000Z,"David Physick
@Fizzinnf
·
21sBBC News - #Covid: #NewZealand PM #Ardern cancels wedding amid #Omicron wave
This is how to conduct yourself 
@BorisJohnson
.
bbc.co.uk
Covid: New Zealand PM Ardern cancels wedding amid Omicron wave
New restrictions are set to be introduced after nine Omicron cases were confirmed in the country.",,,
Elena Sáiz,@ElenaSaiz63,2022-01-23T12:09:03.000Z,"Elena Sáiz
@ElenaSaiz63
·
29sReplying to 
@Raquiglam
Es #Omicron.... Ya lo sé doctora.....",,,
Dainik Gomantak TV,@GomantakDainik,2022-01-23T12:06:16.000Z,"Dainik Gomantak TV
@GomantakDainik
·
3mगोव्यात कोरोनाचा फैलाव दिवसागणिक वाढत आहे. या पार्श्वभूमीवर राज्य सरकारने नवीन निर्बंध लागू केले आहेत. सरकारने 15 फेब्रुवारीपर्यंत विद्यार्थ्यांसाठी शाळा बंद ठेवण्याचा निर्णय घेतला आहे. 

#Goa #Government #Corona #Omicron #School #College",,,
sawanswers,@sawanswers,2022-01-23T12:05:44.000Z,"sawanswers
@sawanswers
·
3m#Omicron sub-variant BA.2 ‘under investigation’ by UK health officials  https://omicronupdate.net/science/omicron-sub-variant-ba-2-under-investigation-by-uk-health-officials-40464260…  #Notiziedalmondo #Trending #BreakingNews
omicronupdate.net
[Science] Omicron sub-variant BA.2 ‘under investigation’ by UK health officials|Omicron News Update
A sub-lineage of the Omicron strain has been formally designated as a “variant under investigation” by the UK Health Security Agency. Some 426 cases of BA.2 have been detected in the UK so far, the...",,,
Gamba di legno,@gamba_legno,2022-01-23T12:05:37.000Z,"Gamba di legno
@gamba_legno
·
3mKostata baina #Omicron gurpiletik aterata behingoz, #postcovid denboraldiari hasiera emanda",,,
Triple Vaxxed,@IrrigationJims,2022-01-23T12:05:33.000Z,"Triple Vaxxed
@IrrigationJims
·
4mVaccines are holding up well against serious disease (with booster) but not infection and transmission https://youtu.be/4RSahdFuemE #auspol #omicron
1
1",,1,1
N.MITHA,@NHMGOUL,2022-01-23T12:05:24.000Z,"N.MITHA
@NHMGOUL
·
4mUne autre façon d'envisager ses responsabilités...vacances, mariage etc... 
#JacindaArdern #OMICRON
CNN International
@cnni
 · 3h
New Zealand's Prime Minister Jacinda Ardern revealed she has canceled her wedding as the country continues to curb a new wave of Omicron cases. https://cnn.it/3nPj9qj",,,
Jan de Ware,@rockhard71,2022-01-23T12:02:35.000Z,"Jan de Ware
@rockhard71
·
7m@rivm
 gebruikt zoals gewoonlijk onjuiste data en doet onjuiste aannames. Volledige incompetentie.

 #corona #FactsNotFear #coronamaatregelen #coronavaccin #ikweiger #stopdelockdown #nooitmeerlockdown #omicron
Maarten van den Berg
@mr_Smith_Econ
 · 3h
Goedemorgen. 

Even een reminder. Wallinga en ons RIVM rekent nog steeds met de Delta kans en past dit toe op Omikron modellen. 

 De realiteit is 60-80% LAGER!  twitter.com/mr_smith_econ/…
Show this thread",,,
