User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
AYDIN,@aydin_diler,2022-01-17T15:34:45.000Z,"AYDIN
@aydin_diler
·
Jan 17Python GUI Development With PySimpleGUI https://youtu.be/-_z2RPAH0Qk 
@YouTube
 aracılığıyla
The following media includes potentially sensitive content. Change settings
View",,,
つぼっく@今年の目標はCISSP取得。,つぼっく@今年の目標はCISSP取得。,2022-01-17T15:23:32.000Z,"つぼっく@今年の目標はCISSP取得。
@ytsuboi0322
·
Jan 17そうか、MapオブジェクトじゃなくてHTMLを表示させられればいいのか。PySimpleGUIでHTMLどうやって（ｒｙ
1",,,1
つぼっく@今年の目標はCISSP取得。,つぼっく@今年の目標はCISSP取得。,2022-01-17T15:03:20.000Z,"つぼっく@今年の目標はCISSP取得。
@ytsuboi0322
·
Jan 17PySimpleGUIのCanvasがよくわからん。。。ホントわからん。。。どうやってfoliumやipyleafletのMapオブジェクトを表示できるんだ・・・
1
1",1,,1
Ganzy（ガンジー）画像処理エンジニア@NFTアート創作中。。,Ganzy（ガンジー）画像処理エンジニア@NFTアート創作中。。,2022-01-17T10:31:07.000Z,"Ganzy（ガンジー）画像処理エンジニア@NFTアート創作中。。
·
Jan 17[ブログ更新]PysimpleGUIによるOpenCVを用いた2値化処理GUIの作成方法について紹介しております。pythonでGUIを作成してみたいと考えている方の手助けになるかと思います！！
#python #pysimpleGUI
#opencv #GUI
ganfreeimages.com
PySimpleGUIによるOpnenCVを用いた2値化処理ソフトの作成方法について！！
Ganzyこんにちは、Ganzyです！！今回はPySimpleGUIを用いた画像処理GUIの作成方法について紹介します！！GUIはグラフィックユーザーインターフェースの略語になっており、マウス操作などによってパラメータ調整や処理の実行が可能
2",,2,
James Abel,@JamesAbel,2022-01-17T05:37:35.000Z,"James Abel
@JamesAbel
·
Jan 17Join me at Meet Mike Driscoll and learn how to create GUIs with PySimpleGUI this Wednesday! ⁦
@driscollis
⁩ ⁦
@PolkPhebe
⁩
meetup.com
Meet Mike Driscoll and learn how to create GUIs with PySimpleGUI | Meetup
Wed, Jan 19, 6:30 PM PST: SF Python is starting our first meetup of 2022 with the incredible Michael Driscoll. You've probably stumbled upon his popular blog ""Mouse vs Python"", read one of his books
4
14",,4,14
こなさん@精神科通院歴16年のフリーランス,こなさん@精神科通院歴16年のフリーランス,2022-01-17T04:42:31.000Z,"こなさん@精神科通院歴16年のフリーランス
@sorabin_
·
Jan 17Replying to 
@sudo___roa___
ほうほう
私は以前 PySimpleGUI 使ったので気になった次第です
1
1",1,,1
鶴谷,@TTsurutani,2022-01-14T23:39:46.000Z,"鶴谷
@TTsurutani
·
Jan 15偶然みつけたがPySimpleGUIは分かりやすいかも

コードと出来上がるGUIの対応関係がTkinterより直感的

Tkinterのラッパーとのこと。こういう仕事で世界は良くなっていく
1
1",1,,1
Mike Driscoll,@driscollis,2022-01-13T15:06:23.000Z,"Mike Driscoll
@driscollis
·
Jan 13Replying to 
@__mharrison__
I'm working on a talk for the SF Python meetup on creating GUIs with PySimpleGUI
1
1
16",1,1,16
大学教員 田中,@tanaka_univ,2022-01-13T12:16:01.000Z,"大学教員 田中
@tanaka_univ
·
Jan 13PySimpleGUIでGUIアプリを作ってたんだけど、やはり、調べれば調べるほどいろんなやり方が出てくる…
おそらく今日書いたコードは1ヶ月後の自分から見たらすごく幼稚なコードなんだろうな…

でも、今、動くことに意味がある。
動かない綺麗なコードより、動くクソコード。
1",,,1
大学教員 田中,@tanaka_univ,2022-01-13T07:39:10.000Z,"大学教員 田中
@tanaka_univ
·
Jan 13PySimpleGUIを触り始めた。
たしかに楽しい笑",,,
破壊,@decolIete,2022-01-13T05:30:47.000Z,"破壊
@decolIete
·
Jan 13Replying to 
@jumang4423
pySimpleGUIの適当なテーマ使ってる
1",1,,
My Virtual Doctor,@MyVirtualDocto3,2022-01-12T19:46:42.000Z,"My Virtual Doctor
@MyVirtualDocto3
·
Jan 13Look what I have got out of the crucible of #billgates kitchen!
An app for #endoscopy reporting, built using #pysimplegui #tkinter #python #sqlite.

Ready for trial on your machine, if you do this procedure.
youtube.com
Demo of Nimzoft Gastroscopy Reporting Tool built using #python...
I am super excited to be able to not only code this tool; but also to be able to deliver it as an executable stand alone app for pilot testing.I am ready to ...
1",,1,
Mike Driscoll,@driscollis,2022-01-12T16:16:11.000Z,"Mike Driscoll
@driscollis
·
Jan 12Replying to 
@mathsppblog
I've heard good things about PyArcade and 
@realpython
 has a couple of articles on it.

PySimpleGUI is probably a good one too.
1
5",1,,5
insom ne ya,@insom_ai333,2022-01-12T14:46:47.000Z,"insom ne ya
@insom_ai333
·
Jan 12Replying to 
@mathsppblog
turtle
pygame
matplotlib
pysimplegui
plotly
1
6",1,,6
mat,@ballforest,2022-01-10T06:55:08.000Z,"mat
@ballforest
·
Jan 10はてなブログに投稿しました #はてなブログ
PySimpleGUIとPyAudioとPyWORLDを使ったリアルタイムボイスチェンジャーの実装 - 備忘録
tam5917.hatenablog.com
PySimpleGUIとPyAudioとPyWORLDを使ったリアルタイムボイスチェンジャーの実装 - 備忘録
こんな感じ。 pysimpleguiとpyaudioとpyworldでボイスチェンジャーができた pic.twitter.com/5V8A6I9ZX4— mat (@ballforest) January 10, 2022 ソースコードは以下。スペクトルのプロット機能はおまけのようなもの。 Real-time voic…
9
27",,9,27
Godiva,@import_godiva,2022-01-10T06:34:31.000Z,"Godiva
@import_godiva
·
Jan 10pysimplegui、使ったことないけど流行ってるのかな。",,,
mat,@ballforest,2022-01-10T06:32:01.000Z,"mat
@ballforest
·
Jan 10pysimpleguiとpyaudioとpyworldでボイスチェンジャーができた
3
28",,3,28
eheka@アクチュアリー試験,eheka@アクチュアリー試験,2022-01-10T02:01:25.000Z,"eheka@アクチュアリー試験
@ehekatlact
·
Jan 10PySimpleGUI

カーソルの位置を取得できないので、日本語と英語を切り替えるとカーソルが先頭に戻ってしまう・・・

英語のテキストボックスの上に、透明な日本語のテキストボックスをかぶせることでごまかす

分からん英語があるときは、日本語側の透明化を解除すれば和文を確認できるって寸法よ",,,
mat,@ballforest,2022-01-09T16:32:39.000Z,"mat
@ballforest
·
Jan 9PyWORLDでスペクトル包絡を抽出 /  はてなブログに投稿しました #はてなブログ
PyAudioとPySimpleGUIを使ったリアルタイムスペクトル包絡表示 - 備忘録
tam5917.hatenablog.com
PyAudioとPySimpleGUIを使ったリアルタイムスペクトル包絡表示 - 備忘録
タイトルの通り。PyWORLDを使ってスペクトル包絡を抽出した。 gist.github.com 軸の表示は今後の課題。
2
8",,2,8
mat,@ballforest,2022-01-09T16:06:09.000Z,"mat
@ballforest
·
Jan 9表示するものを変えただけ / はてなブログに投稿しました #はてなブログ
PyAudioとPySimpleGUIを使ったリアルタイムFFTスペクトル表示 - 備忘録
tam5917.hatenablog.com
PyAudioとPySimpleGUIを使ったリアルタイムFFTスペクトル表示 - 備忘録
タイトルの通り。軸の表示やラベルは今後の課題。 gist.github.com
2
4",,2,4
mat,@ballforest,2022-01-09T15:43:26.000Z,"mat
@ballforest
·
Jan 9はてなブログに投稿しました #はてなブログ
PySimpleGUIとPyAudioを使ったリアルタイム波形プロット - 備忘録
tam5917.hatenablog.com
PySimpleGUIとPyAudioを使ったリアルタイム波形プロット - 備忘録
偉大なる先人のプログラムを参考に書いてみたということ。 gist.github.com 参考： Real Time PyAudio wave plot and FFT transform plots from microphone · GitHub
3
13",,3,13
DLビギナ,@dl_from_scratch,2022-01-09T15:14:10.000Z,"DLビギナ
@dl_from_scratch
·
Jan 9Pythonでも簡単にGUIを作れたら…
かなり簡単なGUIでいいから手早く用意したいなら、PySimpleGui。

PySimpleGuiは誰でも簡単にGUIを実装できるのが特徴だそうです。
qiita.com
Pythonでも簡単にGUIは作れる - Qiita
PythonだってGUIを作りたい Pythonで書いたプログラムを実行して使う場合、『GUIで入出力できたら便利なのに…』と思うときはありませんか？ 誰かにプログラムを配布する場合でも、CUI(コマンドラインから入出力)はあ...",,,
SARDONYX,@SARDONYX_sard,2022-01-04T04:09:44.000Z,"SARDONYX
@SARDONYX_sard
·
Jan 4DockerからPySimpleGUIをwindowsに出そうとして6時間ぐらい格闘。そして何も進展なし…
以前似たようなことをやってできたんだが…
.devcontainerの知見は少し集まったけれど結局友人の助けにはならなかった。無念。
1",1,,
Shumayl,@Shumayl_,2022-01-03T10:16:01.000Z,"Shumayl
@Shumayl_
·
Jan 3Replying to 
@amgadelsaiegh
I like pysimplegui for its simplicity, but it's not as flexible as PyQt.
1",,,1
じゃんきー,@junky_poke_,2022-01-02T13:50:27.000Z,"じゃんきー
@junky_poke_
·
Jan 2昨日のpysimpleguiの続きなんだけど、Anaconda内のモジュール適切に引っ張ってこれてないなー。
3",,,3
かず,@kaz1019,2022-01-02T11:47:59.000Z,"かず
@kaz1019
·
Jan 2Pythonの勉強。
PySimpleGUIを試した。

YouTube動画のとおりにコードを入力。

実行、
動いた。

メソッドやプロパティの指定は、大文字小文字を区別する。
VS Code（のプラグイン）は、文字の色が変わるので見やすい。
白文字が残っていると動かない。

#継続的勉強意欲
1
2",,1,2
Local Ghost,@viniciuscgp,2021-12-26T01:16:57.000Z,"Local Ghost
@viniciuscgp
·
Dec 26, 2021Replying to 
@lucas59356
Man, PySimpleGUI is very interesting, and it's really simple to use ! I hope the project continue, the creator is asking for help.
1",,,1
My Virtual Doctor,@MyVirtualDocto3,2021-12-25T15:26:52.000Z,"My Virtual Doctor
@MyVirtualDocto3
·
Dec 25, 2021Merry Christmas and a happy new yr!

I am not sure how others spend their time during long holidays.

I could not sit before a television following a family time.

I kept getting the urge to go code #python, some #pysimplegui and then this came out!

I th…
linkedin.com
Nimzing Ladep on LinkedIn: #python #pysimplegui #softwaredevelopment
Merry Christmas and a happy new yr! I am not sure how others spend their time during long holidays. I could not sit before a television following a family...
1",,1,
Python Developer,@Python_Dv,2021-12-25T07:21:09.000Z,"Python Developer
@Python_Dv
·
Dec 25, 2021Python GUI Development With PySimpleGUI
#python
morioh.com
Python GUI Development With PySimpleGUI
Python GUI Development With PySimpleGUI. You can use Python and the PySimpleGUI package to create nice-looking user interfaces that you and your users will enjoy! PySimpleGUI is a new Python GUI...
4
7",,4,7
せきね,@104_1113,2021-12-25T04:26:32.000Z,"せきね
@104_1113
·
Dec 25, 2021pythonでGUI作る時はPySimpleGUIっていうライブラリオススメ
1",,,1
